,WINorLOSS,TeamPoints,OpponentPoints,FieldGoals,FieldGoals.,X3PointShots.,FreeThrows,FreeThrows.,Steals,Blocks,Opp.FieldGoals.,Opp.3PointShots,Opp.3PointShots.,Opp.FreeThrows,Opp.FreeThrows.,Opp.TotalRebounds,Opp.Blocks,v.TeamPoints,v.OpponentPoints,v.FieldGoals,v.FieldGoals.,v.X3PointShots,v.X3PointShots.,v.FreeThrows,v.Steals,v.Blocks,v.Opp.FieldGoals.,v.Opp.3PointShots,v.Opp.3PointShots.,v.Opp.FreeThrows.,v.Opp.TotalRebounds,v.Opp.Assists,v.Opp.Blocks,h._ATL,h._BOS,h._BRK,h._CHI,h._CHO,h._CLE,h._DAL,h._DEN,h._DET,h._GSW,h._HOU,h._IND,h._LAC,h._LAL,h._MEM,h._MIA,h._MIL,h._MIN,h._NOP,h._NYK,h._OKC,h._ORL,h._PHI,h._PHO,h._POR,h._SAC,h._SAS,h._TOR,h._UTA,h._WAS,a._ATL,a._BOS,a._BRK,a._CHI,a._CHO,a._CLE,a._DAL,a._DEN,a._DET,a._GSW,a._HOU,a._IND,a._LAC,a._LAL,a._MEM,a._MIA,a._MIL,a._MIN,a._NOP,a._NYK,a._OKC,a._ORL,a._PHI,a._PHO,a._POR,a._SAC,a._SAS,a._TOR,a._UTA,a._WAS
21,1,2.179448037910435,0.4395116492957843,2.6920060780253356,3.051799743759303,2.5419482849461015,-0.042522958833306396,1.6657043940352625,0.5248126520098083,3.4100559882229953,-1.3988754283642133,-0.1334222965964829,-0.20915030667591125,0.21154150977899816,-0.34343484429123394,-0.4491662347443487,-2.0105920314142276,-0.9082402147433846,-0.2834945270349327,-0.8432246844066014,-0.9206756649321594,0.8723069011461556,0.17830603880716914,-1.4245191209158137,-1.0035891064749034,-1.3235377123239935,0.7425115910085773,0.07412349810915692,0.24974012360493467,-0.3661065821784349,1.7838316179846763,0.038288783224341,-0.5176973494060594,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,1,1.9396594821192266,-0.6488029108651885,-0.2750625975871909,0.1281847751175387,0.20548683740581802,1.8072257504155835,0.2976304832225771,1.3718786868326631,0.046713095729085004,0.1470958242645152,-0.5485138860077646,-1.1833059129723404,-1.04972485041276,-1.4392355088391295,-0.7486103912405845,-0.6862499747940777,-0.9082402147433846,-0.2834945270349327,-0.8432246844066014,-0.9206756649321594,0.8723069011461556,0.17830603880716914,-1.4245191209158137,-1.0035891064749034,-1.3235377123239935,0.7425115910085773,0.07412349810915692,0.24974012360493467,-0.3661065821784349,1.7838316179846763,0.038288783224341,-0.5176973494060594,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,1,1.9396594821192266,-0.6488029108651885,-0.2750625975871909,0.1281847751175387,0.20548683740581802,1.8072257504155835,0.2976304832225771,1.3718786868326631,0.046713095729085004,0.1470958242645152,-0.5485138860077646,-1.1833059129723404,-1.04972485041276,-1.4392355088391295,-0.7486103912405845,-0.6862499747940777,-0.9082402147433846,-0.2834945270349327,-0.8432246844066014,-0.9206756649321594,0.8723069011461556,0.17830603880716914,-1.4245191209158137,-1.0035891064749034,-1.3235377123239935,0.7425115910085773,0.07412349810915692,0.24974012360493467,-0.3661065821784349,1.7838316179846763,0.038288783224341,-0.5176973494060594,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0,0.004927162105297993,-0.7020770501737678,1.1678887340176909,0.8964583458545974,0.4859926789439355,-1.0063766923882875,0.42181423656717043,1.7585827462083157,-0.8564067550331724,0.3018101573554771,-0.05929879848732812,-1.5271918619543063,-1.0736729458594405,-1.3468691692986814,-0.038499962978086465,0.9992762790861142,-0.9082402147433846,-0.2834945270349327,-0.8432246844066014,-0.9206756649321594,0.8723069011461556,0.17830603880716914,-1.4245191209158137,-1.0035891064749034,-1.3235377123239935,0.7425115910085773,0.07412349810915692,0.24974012360493467,-0.3661065821784349,1.7838316179846763,0.038288783224341,-0.5176973494060594,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,1,0.8753924673747262,0.8466782854399209,0.7350033345362242,0.9006337456955559,-0.9404556315134276,1.353647522860301,-1.512270748373971,-0.02762171852683117,-0.2802785743744941,-0.3006380790744956,0.2223704943274729,-0.7029930793122956,0.8581400868393305,1.2293120098835624,0.500499518715114,1.7216446736061928,-0.9082402147433846,-0.2834945270349327,-0.8432246844066014,-0.9206756649321594,0.8723069011461556,0.17830603880716914,-1.4245191209158137,-1.0035891064749034,-1.3235377123239935,0.7425115910085773,0.07412349810915692,0.24974012360493467,-0.3661065821784349,1.7838316179846763,0.038288783224341,-0.5176973494060594,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,1,0.8753924673747262,0.8466782854399209,0.7350033345362242,0.9006337456955559,-0.9404556315134276,1.353647522860301,-1.512270748373971,-0.02762171852683117,-0.2802785743744941,-0.3006380790744956,0.2223704943274729,-0.7029930793122956,0.8581400868393305,1.2293120098835624,0.500499518715114,1.7216446736061928,-0.9082402147433846,-0.2834945270349327,-0.8432246844066014,-0.9206756649321594,0.8723069011461556,0.17830603880716914,-1.4245191209158137,-1.0035891064749034,-1.3235377123239935,0.7425115910085773,0.07412349810915692,0.24974012360493467,-0.3661065821784349,1.7838316179846763,0.038288783224341,-0.5176973494060594,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,1,0.6651668842153132,0.9912795207060563,1.0777042757923792,0.08810093664429744,-1.8722134074752907,0.007087159805551065,-2.4097806020916726,0.10127963459838632,-0.03114206381938811,-0.49285891715721913,-0.2371951939493017,-1.537339316186566,0.5148840521035992,-1.0916021945687506,1.2619432309483873,1.5771709947021746,-0.9082402147433846,-0.2834945270349327,-0.8432246844066014,-0.9206756649321594,0.8723069011461556,0.17830603880716914,-1.4245191209158137,-1.0035891064749034,-1.3235377123239935,0.7425115910085773,0.07412349810915692,0.24974012360493467,-0.3661065821784349,1.7838316179846763,0.038288783224341,-0.5176973494060594,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,1,0.6651668842153132,0.9912795207060563,1.0777042757923792,0.08810093664429744,-1.8722134074752907,0.007087159805551065,-2.4097806020916726,0.10127963459838632,-0.03114206381938811,-0.49285891715721913,-0.2371951939493017,-1.537339316186566,0.5148840521035992,-1.0916021945687506,1.2619432309483873,1.5771709947021746,-0.9082402147433846,-0.2834945270349327,-0.8432246844066014,-0.9206756649321594,0.8723069011461556,0.17830603880716914,-1.4245191209158137,-1.0035891064749034,-1.3235377123239935,0.7425115910085773,0.07412349810915692,0.24974012360493467,-0.3661065821784349,1.7838316179846763,0.038288783224341,-0.5176973494060594,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,1,-1.6703079536962415,-0.18836213541247265,-1.8081983874173582,-1.0409271803518718,-0.937193935681594,-0.03543579902775739,0.3679328559837582,-0.32225338281304106,0.03114206381938811,0.20804389487609978,0.059298798487325964,0.4357767845296122,2.7819704210558758,0.37870199211575517,-0.3721663087881758,0.8788815466661013,-0.9082402147433846,-0.2834945270349327,-0.8432246844066014,-0.9206756649321594,0.8723069011461556,0.17830603880716914,-1.4245191209158137,-1.0035891064749034,-1.3235377123239935,0.7425115910085773,0.07412349810915692,0.24974012360493467,-0.3661065821784349,1.7838316179846763,0.038288783224341,-0.5176973494060594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,0,-1.6703079536962415,-0.18836213541247265,-1.8081983874173582,-1.0409271803518718,-0.937193935681594,-0.03543579902775739,0.3679328559837582,-0.32225338281304106,0.03114206381938811,0.20804389487609978,0.059298798487325964,0.4357767845296122,2.7819704210558758,0.37870199211575517,-0.3721663087881758,0.8788815466661013,-0.9082402147433846,-0.2834945270349327,-0.8432246844066014,-0.9206756649321594,0.8723069011461556,0.17830603880716914,-1.4245191209158137,-1.0035891064749034,-1.3235377123239935,0.7425115910085773,0.07412349810915692,0.24974012360493467,-0.3661065821784349,1.7838316179846763,0.038288783224341,-0.5176973494060594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,1,-0.5731931915830789,-1.059774842674229,-0.3201548266998336,-0.1816298930818629,-0.24245272349999714,-1.0276381718049405,-0.7050763516341473,-0.1933520296878249,0.6695543721168438,-1.1703201635707257,-1.2156253689901813,-0.13924562196481902,1.001828659519404,0.6423659068038919,-0.012833320992688841,-0.3250657775340392,-0.9082402147433846,-0.2834945270349327,-0.8432246844066014,-0.9206756649321594,0.8723069011461556,0.17830603880716914,-1.4245191209158137,-1.0035891064749034,-1.3235377123239935,0.7425115910085773,0.07412349810915692,0.24974012360493467,-0.3661065821784349,1.7838316179846763,0.038288783224341,-0.5176973494060594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,1,0.2217222947384403,0.16553036142308472,0.32917327252235584,1.3323700892510508,-0.2989887845851872,0.970940893360531,0.419248456539378,1.7033393091546531,0.7629805635750081,0.6323362325953142,-0.6078126844950906,0.6669132420420519,1.3131539003262265,1.5954185920620125,-0.21816645687582495,-0.39730261698604474,-0.9082402147433846,-0.2834945270349327,-0.8432246844066014,-0.9206756649321594,0.8723069011461556,0.17830603880716914,-1.4245191209158137,-1.0035891064749034,-1.3235377123239935,0.7425115910085773,0.07412349810915692,0.24974012360493467,-0.3661065821784349,1.7838316179846763,0.038288783224341,-0.5176973494060594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,1,1.0133530063230891,0.3063263010243251,1.2400363005979318,1.1895714146901386,-0.29790155264125096,1.6796568739156623,1.25158749755146,1.0404180645106784,-0.6539833402071492,1.308625400727818,0.31131869205845863,0.11782321858562005,-0.2754030976368065,0.7893123560727813,-0.9026102431529304,-0.08427631269401002,-0.9082402147433846,-0.2834945270349327,-0.8432246844066014,-0.9206756649321594,0.8723069011461556,0.17830603880716914,-1.4245191209158137,-1.0035891064749034,-1.3235377123239935,0.7425115910085773,0.07412349810915692,0.24974012360493467,-0.3661065821784349,1.7838316179846763,0.038288783224341,-0.5176973494060594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,1,1.0133530063230891,0.3063263010243251,1.2400363005979318,1.1895714146901386,-0.29790155264125096,1.6796568739156623,1.25158749755146,1.0404180645106784,-0.6539833402071492,1.308625400727818,0.31131869205845863,0.11782321858562005,-0.2754030976368065,0.7893123560727813,-0.9026102431529304,-0.08427631269401002,-0.9082402147433846,-0.2834945270349327,-0.8432246844066014,-0.9206756649321594,0.8723069011461556,0.17830603880716914,-1.4245191209158137,-1.0035891064749034,-1.3235377123239935,0.7425115910085773,0.07412349810915692,0.24974012360493467,-0.3661065821784349,1.7838316179846763,0.038288783224341,-0.5176973494060594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,0,1.5849038105377367,1.2918978782330388,2.475563378284597,1.6772581161145277,-0.15656139992824608,-0.29766071183315507,0.0005131560055538155,0.5063981729919236,1.4169639037821584,-0.6651544244630804,0.35579279092395577,-1.1483535706168073,-0.22750690674345025,1.3989301970396375,1.6383873134007911,-1.023355225570116,-0.9082402147433846,-0.2834945270349327,-0.8432246844066014,-0.9206756649321594,0.8723069011461556,0.17830603880716914,-1.4245191209158137,-1.0035891064749034,-1.3235377123239935,0.7425115910085773,0.07412349810915692,0.24974012360493467,-0.3661065821784349,1.7838316179846763,0.038288783224341,-0.5176973494060594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,1,1.5849038105377367,1.2918978782330388,2.475563378284597,1.6772581161145277,-0.15656139992824608,-0.29766071183315507,0.0005131560055538155,0.5063981729919236,1.4169639037821584,-0.6651544244630804,0.35579279092395577,-1.1483535706168073,-0.22750690674345025,1.3989301970396375,1.6383873134007911,-1.023355225570116,-0.9082402147433846,-0.2834945270349327,-0.8432246844066014,-0.9206756649321594,0.8723069011461556,0.17830603880716914,-1.4245191209158137,-1.0035891064749034,-1.3235377123239935,0.7425115910085773,0.07412349810915692,0.24974012360493467,-0.3661065821784349,1.7838316179846763,0.038288783224341,-0.5176973494060594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,0,-0.300556888423212,0.46234342328516337,1.0416304925022535,0.35365636652949933,-0.7708474482578227,-0.9780280531660821,0.5470243019228713,-1.298220770761108,0.46713095729082166,-0.48231021262828916,0.6819361826042475,0.5496537709137922,1.001828659519404,0.5835873270963744,0.012833320992688841,-0.012039473242000932,-0.9082402147433846,-0.2834945270349327,-0.8432246844066014,-0.9206756649321594,0.8723069011461556,0.17830603880716914,-1.4245191209158137,-1.0035891064749034,-1.3235377123239935,0.7425115910085773,0.07412349810915692,0.24974012360493467,-0.3661065821784349,1.7838316179846763,0.038288783224341,-0.5176973494060594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,1,0.6487430105309917,-0.5574758149076234,0.5095421889729634,-0.3870595652571896,-0.6958284441255282,0.45357822755528265,-2.4965039670306695,2.108457847548185,0.35813373392296155,-0.35689783656213797,0.7412349810915735,0.5519087607431873,-0.13171452495673314,-0.17801512711428857,-0.6544993706274749,-0.3009868310500338,-0.9082402147433846,-0.2834945270349327,-0.8432246844066014,-0.9206756649321594,0.8723069011461556,0.17830603880716914,-1.4245191209158137,-1.0035891064749034,-1.3235377123239935,0.7425115910085773,0.07412349810915692,0.24974012360493467,-0.3661065821784349,1.7838316179846763,0.038288783224341,-0.5176973494060594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,0,0.6487430105309917,-0.5574758149076234,0.5095421889729634,-0.3870595652571896,-0.6958284441255282,0.45357822755528265,-2.4965039670306695,2.108457847548185,0.35813373392296155,-0.35689783656213797,0.7412349810915735,0.5519087607431873,-0.13171452495673314,-0.17801512711428857,-0.6544993706274749,-0.3009868310500338,-0.9082402147433846,-0.2834945270349327,-0.8432246844066014,-0.9206756649321594,0.8723069011461556,0.17830603880716914,-1.4245191209158137,-1.0035891064749034,-1.3235377123239935,0.7425115910085773,0.07412349810915692,0.24974012360493467,-0.3661065821784349,1.7838316179846763,0.038288783224341,-0.5176973494060594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
