,Team,Game,Home,Opponent,WINorLOSS
0,ATL,1,Away,TOR,L
1,ATL,2,Home,IND,W
2,ATL,3,Away,SAS,L
3,ATL,4,Away,CHO,L
4,ATL,5,Home,NYK,W
5,ATL,6,Away,NYK,W
6,ATL,7,Home,UTA,W
7,ATL,8,Home,MIA,W
8,ATL,9,Away,CLE,L
9,ATL,10,Home,LAL,L
10,ATL,11,Home,DET,W
11,ATL,12,Away,WAS,W
12,ATL,13,Home,TOR,L
13,ATL,14,Home,NOP,W
14,ATL,15,Home,CHO,W
15,ATL,16,Home,BOS,W
16,ATL,17,Away,MIA,W
17,ATL,18,Away,BRK,W
18,ATL,19,Home,DEN,W
19,ATL,20,Away,IND,W
20,ATL,21,Home,PHI,W
21,ATL,22,Home,ORL,W
22,ATL,23,Away,ORL,L
23,ATL,24,Home,CHI,W
24,ATL,25,Away,CLE,W
25,ATL,26,Away,HOU,W
26,ATL,27,Away,DAL,W
27,ATL,28,Home,LAC,W
28,ATL,29,Home,MIL,L
29,ATL,30,Away,MIL,W
30,ATL,31,Home,CLE,W
31,ATL,32,Away,UTA,W
32,ATL,33,Away,POR,W
33,ATL,34,Away,LAC,W
34,ATL,35,Home,MEM,W
35,ATL,36,Away,DET,W
36,ATL,37,Home,WAS,W
37,ATL,38,Away,PHI,W
38,ATL,39,Away,BOS,W
39,ATL,40,Away,TOR,W
40,ATL,41,Away,CHI,W
41,ATL,42,Home,DET,W
42,ATL,43,Home,IND,W
43,ATL,44,Home,OKC,W
44,ATL,45,Home,MIN,W
45,ATL,46,Home,BRK,W
46,ATL,47,Home,POR,W
47,ATL,48,Home,PHI,W
48,ATL,49,Away,NOP,L
49,ATL,50,Home,WAS,W
50,ATL,51,Home,GSW,W
51,ATL,52,Away,MEM,L
52,ATL,53,Away,MIN,W
53,ATL,54,Away,BOS,L
54,ATL,55,Home,TOR,L
55,ATL,56,Away,MIL,W
56,ATL,57,Home,DAL,W
57,ATL,58,Home,ORL,W
58,ATL,59,Away,MIA,W
59,ATL,60,Home,HOU,W
60,ATL,61,Home,CLE,W
61,ATL,62,Away,PHI,L
62,ATL,63,Home,SAC,W
63,ATL,64,Away,DEN,L
64,ATL,65,Away,PHO,W
65,ATL,66,Away,LAL,W
66,ATL,67,Away,SAC,W
67,ATL,68,Away,GSW,L
68,ATL,69,Away,OKC,L
69,ATL,70,Home,SAS,L
70,ATL,71,Away,ORL,W
71,ATL,72,Home,MIA,W
72,ATL,73,Away,CHO,L
73,ATL,74,Home,MIL,W
74,ATL,75,Away,DET,L
75,ATL,76,Home,BRK,W
76,ATL,77,Home,PHO,W
77,ATL,78,Away,BRK,W
78,ATL,79,Home,CHO,W
79,ATL,80,Away,WAS,L
80,ATL,81,Home,NYK,L
81,ATL,82,Away,CHI,L
82,BOS,1,Home,BRK,W
83,BOS,2,Away,HOU,L
84,BOS,3,Away,DAL,L
85,BOS,4,Home,TOR,L
86,BOS,5,Home,IND,W
87,BOS,6,Away,CHI,W
88,BOS,7,Home,OKC,L
89,BOS,8,Home,CLE,L
