,Team,Game,Home,Opponent,WINorLOSS,TeamPoints,OpponentPoints,FieldGoals,FieldGoalsAttempted,FieldGoals.,X3PointShots,X3PointShotsAttempted,X3PointShots.,FreeThrows,FreeThrowsAttempted,FreeThrows.,OffRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,TotalFouls,Opp.FieldGoals,Opp.FieldGoalsAttempted,Opp.FieldGoals.,Opp.3PointShots,Opp.3PointShotsAttempted,Opp.3PointShots.,Opp.FreeThrows,Opp.FreeThrowsAttempted,Opp.FreeThrows.,Opp.OffRebounds,Opp.TotalRebounds,Opp.Assists,Opp.Steals,Opp.Blocks,Opp.Turnovers,Opp.TotalFouls,v.TeamPoints,v.OpponentPoints,v.FieldGoals,v.FieldGoalsAttempted,v.FieldGoals.,v.X3PointShots,v.X3PointShotsAttempted,v.X3PointShots.,v.FreeThrows,v.FreeThrowsAttempted,v.FreeThrows.,v.OffRebounds,v.TotalRebounds,v.Assists,v.Steals,v.Blocks,v.Turnovers,v.TotalFouls,v.Opp.FieldGoals,v.Opp.FieldGoalsAttempted,v.Opp.FieldGoals.,v.Opp.3PointShots,v.Opp.3PointShotsAttempted,v.Opp.3PointShots.,v.Opp.FreeThrows,v.Opp.FreeThrowsAttempted,v.Opp.FreeThrows.,v.Opp.OffRebounds,v.Opp.TotalRebounds,v.Opp.Assists,v.Opp.Steals,v.Opp.Blocks,v.Opp.Turnovers,v.Opp.TotalFouls
0,ATL,1,Home,DET,L,104.20731707317071,100.39024390243902,39.109756097560975,85.46341463414635,0.4642195121951223,10.03658536585366,28.65853658536585,0.3556951219512195,15.951219512195122,20.304878048780488,0.7897560975609759,8.402439024390244,42.58536585365854,25.98780487804878,9.231707317073173,6.012195121951219,14.731707317073171,19.42682926829268,37.560975609756106,87.08536585365853,0.43815853658536585,8.365853658536585,24.756097560975608,0.3453536585365854,16.902439024390244,22.353658536585368,0.7717073170731706,11.682926829268293,47.0609756097561,22.195121951219512,8.74390243902439,5.085365853658536,15.719512195121949,18.560975609756103,103.3170731707317,102.51219512195122,38.439024390243894,87.59756097560974,0.4455731707317075,9.134146341463415,26.560975609756103,0.3474512195121951,17.304878048780488,25.81707317073171,0.6862560975609756,12.707317073170733,47.0,19.79268292682927,7.085365853658537,3.7926829268292686,13.207317073170733,19.341463414634145,39.23170731707317,85.1951219512195,0.4674878048780488,7.3414634146341475,20.695121951219512,0.3646097560975609,16.70731707317073,21.37804878048781,0.7921829268292682,8.939024390243903,42.939024390243894,21.792682926829272,7.219512195121951,4.5,13.134146341463413,21.939024390243897
1,ATL,31,Home,DET,W,104.20731707317071,100.39024390243902,39.109756097560975,85.46341463414635,0.4642195121951223,10.03658536585366,28.65853658536585,0.3556951219512195,15.951219512195122,20.304878048780488,0.7897560975609759,8.402439024390244,42.58536585365854,25.98780487804878,9.231707317073173,6.012195121951219,14.731707317073171,19.42682926829268,37.560975609756106,87.08536585365853,0.43815853658536585,8.365853658536585,24.756097560975608,0.3453536585365854,16.902439024390244,22.353658536585368,0.7717073170731706,11.682926829268293,47.0609756097561,22.195121951219512,8.74390243902439,5.085365853658536,15.719512195121949,18.560975609756103,103.3170731707317,102.51219512195122,38.439024390243894,87.59756097560974,0.4455731707317075,9.134146341463415,26.560975609756103,0.3474512195121951,17.304878048780488,25.81707317073171,0.6862560975609756,12.707317073170733,47.0,19.79268292682927,7.085365853658537,3.7926829268292686,13.207317073170733,19.341463414634145,39.23170731707317,85.1951219512195,0.4674878048780488,7.3414634146341475,20.695121951219512,0.3646097560975609,16.70731707317073,21.37804878048781,0.7921829268292682,8.939024390243903,42.939024390243894,21.792682926829272,7.219512195121951,4.5,13.134146341463413,21.939024390243897
2,ATL,68,Away,DET,W,104.20731707317071,100.39024390243902,39.109756097560975,85.46341463414635,0.4642195121951223,10.03658536585366,28.65853658536585,0.3556951219512195,15.951219512195122,20.304878048780488,0.7897560975609759,8.402439024390244,42.58536585365854,25.98780487804878,9.231707317073173,6.012195121951219,14.731707317073171,19.42682926829268,37.560975609756106,87.08536585365853,0.43815853658536585,8.365853658536585,24.756097560975608,0.3453536585365854,16.902439024390244,22.353658536585368,0.7717073170731706,11.682926829268293,47.0609756097561,22.195121951219512,8.74390243902439,5.085365853658536,15.719512195121949,18.560975609756103,103.3170731707317,102.51219512195122,38.439024390243894,87.59756097560974,0.4455731707317075,9.134146341463415,26.560975609756103,0.3474512195121951,17.304878048780488,25.81707317073171,0.6862560975609756,12.707317073170733,47.0,19.79268292682927,7.085365853658537,3.7926829268292686,13.207317073170733,19.341463414634145,39.23170731707317,85.1951219512195,0.4674878048780488,7.3414634146341475,20.695121951219512,0.3646097560975609,16.70731707317073,21.37804878048781,0.7921829268292682,8.939024390243903,42.939024390243894,21.792682926829272,7.219512195121951,4.5,13.134146341463413,21.939024390243897
3,ATL,74,Away,DET,W,104.20731707317071,100.39024390243902,39.109756097560975,85.46341463414635,0.4642195121951223,10.03658536585366,28.65853658536585,0.3556951219512195,15.951219512195122,20.304878048780488,0.7897560975609759,8.402439024390244,42.58536585365854,25.98780487804878,9.231707317073173,6.012195121951219,14.731707317073171,19.42682926829268,37.560975609756106,87.08536585365853,0.43815853658536585,8.365853658536585,24.756097560975608,0.3453536585365854,16.902439024390244,22.353658536585368,0.7717073170731706,11.682926829268293,47.0609756097561,22.195121951219512,8.74390243902439,5.085365853658536,15.719512195121949,18.560975609756103,103.3170731707317,102.51219512195122,38.439024390243894,87.59756097560974,0.4455731707317075,9.134146341463415,26.560975609756103,0.3474512195121951,17.304878048780488,25.81707317073171,0.6862560975609756,12.707317073170733,47.0,19.79268292682927,7.085365853658537,3.7926829268292686,13.207317073170733,19.341463414634145,39.23170731707317,85.1951219512195,0.4674878048780488,7.3414634146341475,20.695121951219512,0.3646097560975609,16.70731707317073,21.37804878048781,0.7921829268292682,8.939024390243903,42.939024390243894,21.792682926829272,7.219512195121951,4.5,13.134146341463413,21.939024390243897
4,BOS,26,Away,DET,L,106.93902439024392,103.91463414634147,39.695121951219505,90.3780487804878,0.4452439024390242,8.74390243902439,26.231707317073173,0.33530487804878034,18.804878048780488,23.86585365853659,0.7982804878048779,11.780487804878051,45.463414634146346,24.39024390243902,9.304878048780488,4.3048780487804885,13.621951219512196,22.121951219512194,38.012195121951216,85.98780487804878,0.44878048780487817,8.012195121951219,23.65853658536585,0.3360243902439025,19.87804878048781,26.292682926829272,0.7712195121951217,11.426829268292684,46.45121951219512,21.15853658536585,7.695121951219512,5.524390243902439,16.024390243902438,21.243902439024392,103.3170731707317,102.51219512195122,38.439024390243894,87.59756097560974,0.4455731707317075,9.134146341463415,26.560975609756103,0.3474512195121951,17.304878048780488,25.81707317073171,0.6862560975609756,12.707317073170733,47.0,19.79268292682927,7.085365853658537,3.7926829268292686,13.207317073170733,19.341463414634145,39.23170731707317,85.1951219512195,0.4674878048780488,7.3414634146341475,20.695121951219512,0.3646097560975609,16.70731707317073,21.37804878048781,0.7921829268292682,8.939024390243903,42.939024390243894,21.792682926829272,7.219512195121951,4.5,13.134146341463413,21.939024390243897
5,BOS,30,Away,DET,W,106.93902439024392,103.91463414634147,39.695121951219505,90.3780487804878,0.4452439024390242,8.74390243902439,26.231707317073173,0.33530487804878034,18.804878048780488,23.86585365853659,0.7982804878048779,11.780487804878051,45.463414634146346,24.39024390243902,9.304878048780488,4.3048780487804885,13.621951219512196,22.121951219512194,38.012195121951216,85.98780487804878,0.44878048780487817,8.012195121951219,23.65853658536585,0.3360243902439025,19.87804878048781,26.292682926829272,0.7712195121951217,11.426829268292684,46.45121951219512,21.15853658536585,7.695121951219512,5.524390243902439,16.024390243902438,21.243902439024392,103.3170731707317,102.51219512195122,38.439024390243894,87.59756097560974,0.4455731707317075,9.134146341463415,26.560975609756103,0.3474512195121951,17.304878048780488,25.81707317073171,0.6862560975609756,12.707317073170733,47.0,19.79268292682927,7.085365853658537,3.7926829268292686,13.207317073170733,19.341463414634145,39.23170731707317,85.1951219512195,0.4674878048780488,7.3414634146341475,20.695121951219512,0.3646097560975609,16.70731707317073,21.37804878048781,0.7921829268292682,8.939024390243903,42.939024390243894,21.792682926829272,7.219512195121951,4.5,13.134146341463413,21.939024390243897
6,BOS,35,Home,DET,L,106.93902439024392,103.91463414634147,39.695121951219505,90.3780487804878,0.4452439024390242,8.74390243902439,26.231707317073173,0.33530487804878034,18.804878048780488,23.86585365853659,0.7982804878048779,11.780487804878051,45.463414634146346,24.39024390243902,9.304878048780488,4.3048780487804885,13.621951219512196,22.121951219512194,38.012195121951216,85.98780487804878,0.44878048780487817,8.012195121951219,23.65853658536585,0.3360243902439025,19.87804878048781,26.292682926829272,0.7712195121951217,11.426829268292684,46.45121951219512,21.15853658536585,7.695121951219512,5.524390243902439,16.024390243902438,21.243902439024392,103.3170731707317,102.51219512195122,38.439024390243894,87.59756097560974,0.4455731707317075,9.134146341463415,26.560975609756103,0.3474512195121951,17.304878048780488,25.81707317073171,0.6862560975609756,12.707317073170733,47.0,19.79268292682927,7.085365853658537,3.7926829268292686,13.207317073170733,19.341463414634145,39.23170731707317,85.1951219512195,0.4674878048780488,7.3414634146341475,20.695121951219512,0.3646097560975609,16.70731707317073,21.37804878048781,0.7921829268292682,8.939024390243903,42.939024390243894,21.792682926829272,7.219512195121951,4.5,13.134146341463413,21.939024390243897
7,BOS,51,Home,DET,W,106.93902439024392,103.91463414634147,39.695121951219505,90.3780487804878,0.4452439024390242,8.74390243902439,26.231707317073173,0.33530487804878034,18.804878048780488,23.86585365853659,0.7982804878048779,11.780487804878051,45.463414634146346,24.39024390243902,9.304878048780488,4.3048780487804885,13.621951219512196,22.121951219512194,38.012195121951216,85.98780487804878,0.44878048780487817,8.012195121951219,23.65853658536585,0.3360243902439025,19.87804878048781,26.292682926829272,0.7712195121951217,11.426829268292684,46.45121951219512,21.15853658536585,7.695121951219512,5.524390243902439,16.024390243902438,21.243902439024392,103.3170731707317,102.51219512195122,38.439024390243894,87.59756097560974,0.4455731707317075,9.134146341463415,26.560975609756103,0.3474512195121951,17.304878048780488,25.81707317073171,0.6862560975609756,12.707317073170733,47.0,19.79268292682927,7.085365853658537,3.7926829268292686,13.207317073170733,19.341463414634145,39.23170731707317,85.1951219512195,0.4674878048780488,7.3414634146341475,20.695121951219512,0.3646097560975609,16.70731707317073,21.37804878048781,0.7921829268292682,8.939024390243903,42.939024390243894,21.792682926829272,7.219512195121951,4.5,13.134146341463413,21.939024390243897
8,BRK,17,Home,DET,W,99.79268292682929,107.26829268292684,38.64634146341464,85.41463414634147,0.45878048780487796,6.548780487804878,18.682926829268293,0.3514878048780487,15.951219512195122,21.07317073170732,0.7613902439024388,10.658536585365852,42.92682926829269,22.5,7.695121951219512,4.060975609756096,14.414634146341465,18.195121951219512,41.23170731707317,86.06097560975608,0.4864878048780488,9.597560975609756,25.853658536585368,0.3782560975609756,15.207317073170733,19.865853658536587,0.7750365853658536,10.268292682926827,43.90243902439025,24.743902439024392,8.841463414634148,5.329268292682927,13.69512195121951,18.719512195121947,103.3170731707317,102.51219512195122,38.439024390243894,87.59756097560974,0.4455731707317075,9.134146341463415,26.560975609756103,0.3474512195121951,17.304878048780488,25.81707317073171,0.6862560975609756,12.707317073170733,47.0,19.79268292682927,7.085365853658537,3.7926829268292686,13.207317073170733,19.341463414634145,39.23170731707317,85.1951219512195,0.4674878048780488,7.3414634146341475,20.695121951219512,0.3646097560975609,16.70731707317073,21.37804878048781,0.7921829268292682,8.939024390243903,42.939024390243894,21.792682926829272,7.219512195121951,4.5,13.134146341463413,21.939024390243897
9,BRK,37,Away,DET,L,99.79268292682929,107.26829268292684,38.64634146341464,85.41463414634147,0.45878048780487796,6.548780487804878,18.682926829268293,0.3514878048780487,15.951219512195122,21.07317073170732,0.7613902439024388,10.658536585365852,42.92682926829269,22.5,7.695121951219512,4.060975609756096,14.414634146341465,18.195121951219512,41.23170731707317,86.06097560975608,0.4864878048780488,9.597560975609756,25.853658536585368,0.3782560975609756,15.207317073170733,19.865853658536587,0.7750365853658536,10.268292682926827,43.90243902439025,24.743902439024392,8.841463414634148,5.329268292682927,13.69512195121951,18.719512195121947,103.3170731707317,102.51219512195122,38.439024390243894,87.59756097560974,0.4455731707317075,9.134146341463415,26.560975609756103,0.3474512195121951,17.304878048780488,25.81707317073171,0.6862560975609756,12.707317073170733,47.0,19.79268292682927,7.085365853658537,3.7926829268292686,13.207317073170733,19.341463414634145,39.23170731707317,85.1951219512195,0.4674878048780488,7.3414634146341475,20.695121951219512,0.3646097560975609,16.70731707317073,21.37804878048781,0.7921829268292682,8.939024390243903,42.939024390243894,21.792682926829272,7.219512195121951,4.5,13.134146341463413,21.939024390243897
