,Team,TeamPoints,OpponentPoints,FieldGoals,FieldGoalsAttempted,FieldGoals.,X3PointShots,X3PointShotsAttempted,X3PointShots.,FreeThrows,FreeThrowsAttempted,FreeThrows.,OffRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,TotalFouls,Opp.FieldGoals,Opp.FieldGoalsAttempted,Opp.FieldGoals.,Opp.3PointShots,Opp.3PointShotsAttempted,Opp.3PointShots.,Opp.FreeThrows,Opp.FreeThrowsAttempted,Opp.FreeThrows.,Opp.OffRebounds,Opp.TotalRebounds,Opp.Assists,Opp.Steals,Opp.Blocks,Opp.Turnovers,Opp.TotalFouls
0,ATL,104.20731707317073,100.39024390243902,39.109756097560975,85.46341463414635,0.46421951219512225,10.036585365853659,28.658536585365855,0.3556951219512195,15.951219512195122,20.304878048780488,0.7897560975609759,8.402439024390244,42.58536585365854,25.98780487804878,9.231707317073171,6.012195121951219,14.731707317073171,19.426829268292682,37.5609756097561,87.08536585365853,0.43815853658536585,8.365853658536585,24.75609756097561,0.3453536585365854,16.902439024390244,22.353658536585368,0.7717073170731706,11.682926829268293,47.0609756097561,22.195121951219512,8.74390243902439,5.085365853658536,15.71951219512195,18.5609756097561
1,BOS,106.9390243902439,103.91463414634147,39.69512195121951,90.3780487804878,0.4452439024390242,8.74390243902439,26.23170731707317,0.33530487804878034,18.804878048780488,23.865853658536587,0.798280487804878,11.78048780487805,45.46341463414634,24.390243902439025,9.304878048780488,4.304878048780488,13.621951219512194,22.121951219512194,38.01219512195122,85.98780487804878,0.44878048780487817,8.012195121951219,23.658536585365855,0.33602439024390246,19.878048780487806,26.29268292682927,0.7712195121951217,11.426829268292684,46.451219512195124,21.158536585365855,7.695121951219512,5.524390243902439,16.024390243902438,21.24390243902439
2,BRK,99.79268292682927,107.26829268292683,38.646341463414636,85.41463414634147,0.458780487804878,6.548780487804878,18.682926829268293,0.3514878048780487,15.951219512195122,21.073170731707318,0.7613902439024388,10.658536585365853,42.926829268292686,22.5,7.695121951219512,4.060975609756097,14.414634146341463,18.195121951219512,41.23170731707317,86.0609756097561,0.4864878048780488,9.597560975609756,25.853658536585368,0.37825609756097556,15.207317073170731,19.865853658536587,0.7750365853658536,10.268292682926829,43.90243902439025,24.74390243902439,8.841463414634147,5.329268292682927,13.695121951219512,18.71951219512195
3,CHO,104.58536585365853,101.84146341463415,37.47560975609756,85.47560975609755,0.44414634146341464,10.731707317073171,29.621951219512194,0.36603658536585354,18.902439024390244,23.951219512195124,0.8036829268292685,9.036585365853659,44.51219512195122,21.841463414634145,7.329268292682927,5.463414634146342,12.024390243902438,18.402439024390244,38.24390243902439,86.15853658536585,0.4504146341463414,8.963414634146341,25.73170731707317,0.35108536585365846,16.390243902439025,21.365853658536587,0.7741341463414633,8.987804878048781,45.26829268292683,23.5,6.804878048780488,5.548780487804878,13.170731707317072,20.621951219512194
4,CHI,102.8048780487805,104.3048780487805,39.0609756097561,88.58536585365853,0.4481463414634146,8.048780487804878,21.73170731707317,0.37265853658536574,16.634146341463413,21.182926829268293,0.789182926829268,11.195121951219512,46.90243902439025,23.121951219512194,6.097560975609756,5.817073170731708,13.451219512195122,19.097560975609756,39.890243902439025,90.48780487804878,0.4471951219512195,8.024390243902438,23.21951219512195,0.3419512195121951,16.5,22.390243902439025,0.7520609756097559,11.902439024390244,46.51219512195122,22.695121951219512,8.060975609756097,5.7926829268292686,11.439024390243903,18.98780487804878
5,CLE,105.6829268292683,99.48780487804878,39.15853658536585,85.03658536585365,0.46769512195121943,10.853658536585366,29.865853658536587,0.36825609756097566,16.51219512195122,22.121951219512194,0.75740243902439,10.71951219512195,45.09756097560975,22.98780487804878,6.804878048780488,3.902439024390244,12.975609756097562,20.621951219512194,37.23170731707317,83.20731707317073,0.4543780487804878,7.963414634146342,23.0,0.3479634146341464,17.0609756097561,23.024390243902438,0.752207317073171,9.426829268292684,41.670731707317074,21.597560975609756,7.2317073170731705,4.451219512195122,13.085365853658537,20.975609756097562
6,DAL,103.57317073170732,103.63414634146342,37.853658536585364,85.10975609756098,0.45096341463414635,9.987804878048781,28.890243902439025,0.348878048780488,17.878048780487806,22.548780487804876,0.8011219512195125,9.268292682926829,43.670731707317074,22.426829268292682,6.939024390243903,3.8536585365853657,12.585365853658537,19.76829268292683,38.707317073170735,86.07317073170732,0.4554146341463416,9.158536585365853,26.890243902439025,0.3391951219512195,17.0609756097561,23.158536585365855,0.7561951219512195,10.768292682926829,46.329268292682926,22.158536585365855,7.682926829268292,4.524390243902439,13.597560975609756,21.658536585365855
7,DEN,103.1829268292683,106.13414634146342,38.170731707317074,86.57317073170732,0.4470487804878049,8.146341463414634,24.048780487804876,0.3418780487804879,18.695121951219512,24.390243902439025,0.7792073170731706,11.75609756097561,45.34146341463415,22.9390243902439,7.487804878048781,4.853658536585366,14.353658536585366,21.195121951219512,39.25609756097561,85.1951219512195,0.4671219512195124,9.292682926829269,25.121951219512194,0.37528048780487805,18.329268292682926,24.0609756097561,0.7742682926829266,9.829268292682928,43.15853658536585,23.73170731707317,8.158536585365853,6.353658536585366,13.304878048780488,21.182926829268293
8,DET,103.3170731707317,102.51219512195122,38.4390243902439,87.59756097560975,0.4455731707317075,9.134146341463415,26.5609756097561,0.3474512195121951,17.304878048780488,25.817073170731707,0.6862560975609756,12.707317073170731,47.0,19.79268292682927,7.085365853658536,3.792682926829268,13.207317073170731,19.341463414634145,39.23170731707317,85.1951219512195,0.4674878048780488,7.341463414634147,20.695121951219512,0.3646097560975609,16.70731707317073,21.378048780487806,0.7921829268292682,8.939024390243903,42.9390243902439,21.79268292682927,7.219512195121951,4.5,13.134146341463415,21.9390243902439
9,GSW,115.92682926829268,105.41463414634147,42.91463414634146,88.36585365853658,0.49268292682926834,13.231707317073171,32.03658536585366,0.4170243902439023,16.865853658536587,22.146341463414632,0.7758170731707319,10.134146341463415,46.73170731707317,29.146341463414632,8.560975609756097,6.170731707317073,15.060975609756097,20.975609756097562,39.36585365853659,90.35365853658537,0.4414512195121952,7.963414634146342,23.841463414634145,0.3313780487804877,18.71951219512195,24.76829268292683,0.7638048780487803,11.536585365853659,44.48780487804878,22.548780487804876,8.768292682926829,4.219512195121951,14.036585365853659,20.158536585365855
10,HOU,107.7560975609756,107.64634146341463,38.1219512195122,84.54878048780488,0.4570365853658536,10.817073170731707,31.170731707317074,0.35282926829268296,20.695121951219512,29.73170731707317,0.7097926829268295,11.439024390243903,43.548780487804876,22.48780487804878,10.182926829268293,5.280487804878049,15.402439024390244,22.195121951219512,39.46341463414634,86.0609756097561,0.465451219512195,9.792682926829269,27.121951219512194,0.36780487804878054,18.926829268292682,25.085365853658537,0.7671463414634146,11.939024390243903,45.24390243902439,24.804878048780488,9.048780487804878,4.951219512195122,16.01219512195122,22.817073170731707
11,IND,103.51219512195122,101.71951219512195,38.829268292682926,86.15853658536585,0.45713414634146343,8.158536585365853,23.26829268292683,0.35268292682926816,17.695121951219512,23.20731707317073,0.7715853658536582,10.402439024390244,44.73170731707317,21.475609756097562,9.146341463414634,4.878048780487805,14.524390243902438,20.24390243902439,37.8780487804878,86.04878048780488,0.4466829268292682,8.414634146341463,25.109756097560975,0.33626829268292674,17.548780487804876,23.402439024390244,0.7631463414634145,10.841463414634147,45.1219512195122,21.109756097560975,7.829268292682927,4.5,15.414634146341463,20.76829268292683
12,LAC,105.85365853658537,101.58536585365853,38.73170731707317,83.52439024390245,0.47095121951219515,9.829268292682928,27.121951219512194,0.36840243902439024,18.5609756097561,26.670731707317074,0.7179146341463416,8.939024390243903,42.63414634146341,23.0609756097561,8.670731707317072,5.658536585365853,12.548780487804878,21.646341463414632,37.23170731707317,85.71951219512195,0.44082926829268304,7.926829268292683,23.524390243902438,0.3376707317073169,19.195121951219512,25.51219512195122,0.7592682926829268,11.878048780487806,47.170731707317074,21.51219512195122,7.146341463414634,3.207317073170732,14.78048780487805,22.78048780487805
13,LAL,98.26829268292683,108.1951219512195,35.47560975609756,85.82926829268293,0.4196341463414636,7.817073170731708,24.78048780487805,0.31939024390243886,19.5,25.0,0.7873292682926828,10.841463414634147,43.451219512195124,18.20731707317073,7.329268292682927,4.146341463414634,13.207317073170731,20.48780487804878,41.02439024390244,86.67073170731707,0.4799268292682928,8.695121951219512,24.9390243902439,0.3480487804878048,17.451219512195124,23.890243902439025,0.7387439024390245,11.085365853658537,47.146341463414636,25.01219512195122,7.609756097560975,5.609756097560975,12.329268292682928,19.48780487804878
14,MEM,100.36585365853658,102.48780487804878,37.25609756097561,84.53658536585365,0.44817073170731714,6.2926829268292686,18.79268292682927,0.33499999999999974,19.5609756097561,24.9390243902439,0.793182926829268,11.195121951219512,42.1219512195122,20.975609756097562,8.890243902439025,4.353658536585366,12.853658536585366,22.048780487804876,36.34146341463415,79.79268292682927,0.46142682926829265,9.792682926829269,26.9390243902439,0.36207317073170725,20.01219512195122,26.048780487804876,0.7758170731707318,10.25609756097561,43.707317073170735,22.048780487804876,7.073170731707317,5.7317073170731705,15.548780487804878,21.317073170731707
15,MIA,101.23170731707317,99.89024390243902,38.78048780487805,82.71951219512195,0.47615853658536594,6.182926829268292,18.26829268292683,0.3392073170731707,17.48780487804878,23.414634146341463,0.758890243902439,10.060975609756097,44.69512195121951,21.048780487804876,6.829268292682927,6.524390243902439,13.451219512195122,18.646341463414632,37.75609756097561,85.45121951219512,0.4491585365853657,7.487804878048781,21.524390243902438,0.3533902439024389,16.890243902439025,21.902439024390244,0.7834999999999999,10.024390243902438,41.853658536585364,20.5,7.597560975609756,4.195121951219512,12.390243902439025,19.951219512195124
16,MIL,100.41463414634147,104.58536585365853,38.81707317073171,83.20731707317073,0.4730365853658537,5.426829268292683,15.817073170731707,0.34791463414634133,17.353658536585368,23.170731707317074,0.7572195121951218,10.536585365853659,42.146341463414636,23.402439024390244,8.231707317073171,5.841463414634147,14.731707317073171,20.98780487804878,38.19512195121951,84.23170731707317,0.46070731707317064,9.439024390243903,26.890243902439025,0.358121951219512,18.75609756097561,24.341463414634145,0.7859024390243903,11.634146341463415,43.573170731707314,24.76829268292683,8.304878048780488,5.682926829268292,14.914634146341463,19.865853658536587
17,MIN,103.57317073170732,107.3048780487805,38.170731707317074,82.32926829268293,0.47007317073170723,5.621951219512195,16.646341463414632,0.3395731707317073,21.609756097560975,27.317073170731707,0.8037195121951216,10.109756097560975,41.96341463414634,23.621951219512194,8.109756097560975,4.609756097560975,14.573170731707316,21.0,40.451219512195124,86.07317073170732,0.47675609756097553,9.158536585365853,25.841463414634145,0.35976829268292687,17.24390243902439,22.73170731707317,0.7712682926829265,10.951219512195122,42.573170731707314,23.0,7.878048780487805,5.2926829268292686,14.475609756097562,21.914634146341463
18,NOP,104.20731707317073,107.6951219512195,38.96341463414634,86.98780487804878,0.4544390243902439,8.670731707317072,24.073170731707318,0.3624024390243903,17.609756097560975,22.658536585365855,0.7893658536585365,9.768292682926829,43.207317073170735,22.463414634146343,7.853658536585366,4.2560975609756095,13.170731707317072,21.23170731707317,39.609756097560975,84.91463414634147,0.47352439024390236,9.304878048780488,25.134146341463413,0.37528048780487805,19.170731707317074,24.426829268292682,0.7985731707317072,9.121951219512194,44.98780487804878,23.365853658536587,7.426829268292683,5.2073170731707314,13.426829268292684,20.20731707317073
19,NYK,99.71951219512195,102.3780487804878,37.36585365853659,85.02439024390245,0.4460487804878049,7.524390243902439,21.71951219512195,0.34745121951219515,17.463414634146343,21.646341463414632,0.8220487804878049,10.5,44.91463414634146,20.76829268292683,5.780487804878049,5.7317073170731705,12.890243902439025,19.9390243902439,38.52439024390244,86.92682926829268,0.4494756097560972,7.695121951219512,22.597560975609756,0.3408658536585366,17.634146341463413,23.378048780487806,0.7675975609756097,10.939024390243903,44.6219512195122,21.036585365853657,7.317073170731708,4.2926829268292686,10.939024390243903,18.75609756097561
20,OKC,111.28048780487805,104.01219512195122,41.573170731707314,87.58536585365853,0.481280487804878,8.329268292682928,24.036585365853657,0.3523414634146342,19.804878048780488,25.353658536585368,0.7944268292682926,13.268292682926829,49.30487804878049,23.20731707317073,7.463414634146342,6.012195121951219,15.646341463414634,20.890243902439025,38.81707317073171,88.73170731707317,0.4431097560975611,8.21951219512195,24.109756097560975,0.34574390243902425,18.158536585365855,24.085365853658537,0.7689024390243903,11.439024390243903,40.792682926829265,21.75609756097561,8.865853658536585,4.658536585365853,12.731707317073171,20.329268292682926
21,ORL,103.21951219512195,105.04878048780488,39.951219512195124,87.84146341463415,0.4617317073170733,7.841463414634147,22.4390243902439,0.35363414634146334,15.475609756097562,20.390243902439025,0.7687682926829268,10.451219512195122,43.8780487804878,23.71951219512195,8.341463414634147,5.158536585365853,13.865853658536585,21.01219512195122,38.890243902439025,84.57317073170732,0.4671341463414635,9.024390243902438,25.182926829268293,0.35848780487804865,18.24390243902439,24.365853658536587,0.7589146341463414,10.268292682926829,44.792682926829265,23.536585365853657,7.682926829268292,5.548780487804878,14.74390243902439,18.536585365853657
22,PHI,98.57317073170732,109.0,36.63414634146341,85.04878048780488,0.43743902439024385,9.390243902439025,27.79268292682927,0.3404878048780487,15.914634146341463,22.963414634146343,0.7054268292682927,9.634146341463415,41.890243902439025,21.70731707317073,8.329268292682928,6.073170731707317,15.817073170731707,22.073170731707318,40.15853658536585,86.46341463414635,0.4712317073170731,7.902439024390244,21.914634146341463,0.3680731707317073,20.78048780487805,26.48780487804878,0.7929878048780489,11.207317073170731,48.146341463414636,23.695121951219512,8.75609756097561,5.719512195121951,14.548780487804878,19.463414634146343
23,PHO,102.23170731707317,108.67073170731707,37.74390243902439,86.65853658536585,0.4414512195121949,9.146341463414634,26.21951219512195,0.34893902439024377,17.597560975609756,23.402439024390244,0.7570243902439022,11.573170731707316,45.451219512195124,21.01219512195122,7.7926829268292686,3.8658536585365852,16.70731707317073,22.914634146341463,39.5609756097561,84.89024390243902,0.4733414634146341,9.524390243902438,25.29268292682927,0.3828536585365854,20.024390243902438,26.76829268292683,0.7542317073170728,9.975609756097562,44.170731707317074,22.634146341463413,9.621951219512194,5.5,14.426829268292684,21.79268292682927
24,POR,106.41463414634147,105.67073170731707,39.1219512195122,87.0,0.45623170731707335,10.670731707317072,28.78048780487805,0.3744390243902439,17.5,23.25609756097561,0.7591951219512194,11.707317073170731,46.08536585365854,21.609756097560975,6.951219512195122,4.670731707317073,14.268292682926829,22.0609756097561,38.8780487804878,85.67073170731707,0.4607926829268293,8.609756097560975,23.25609756097561,0.37364634146341463,19.304878048780488,26.341463414634145,0.7459024390243902,10.646341463414634,44.207317073170735,21.829268292682926,7.780487804878049,5.280487804878049,12.963414634146341,19.70731707317073
25,SAC,107.8780487804878,110.42682926829268,40.58536585365854,87.51219512195122,0.47059756097560984,8.109756097560975,22.609756097560975,0.36435365853658536,18.597560975609756,25.634146341463413,0.7297195121951218,10.670731707317072,44.68292682926829,24.76829268292683,9.073170731707316,4.597560975609756,15.695121951219512,20.658536585365855,41.08536585365854,88.78048780487805,0.47008536585365857,10.317073170731707,28.195121951219512,0.3700487804878049,17.9390243902439,23.463414634146343,0.7779878048780486,11.426829268292684,45.5609756097561,24.475609756097562,8.890243902439025,5.378048780487805,15.841463414634147,22.182926829268293
26,SAS,104.82926829268293,94.10975609756098,40.548780487804876,83.86585365853658,0.49023170731707305,7.036585365853658,18.73170731707317,0.38443902439024374,16.695121951219512,20.865853658536587,0.816231707317073,9.5,44.52439024390244,24.74390243902439,8.353658536585366,5.939024390243903,12.78048780487805,17.76829268292683,36.09756097560975,82.86585365853658,0.44220731707317085,6.7073170731707314,20.20731707317073,0.3318902439024388,15.207317073170731,20.024390243902438,0.7775365853658537,9.207317073170731,41.01219512195122,21.097560975609756,7.390243902439025,3.902439024390244,14.451219512195122,19.841463414634145
27,TOR,103.76829268292683,99.32926829268293,37.08536585365854,82.2439024390244,0.4583170731707317,8.658536585365853,23.5,0.36829268292682926,20.9390243902439,26.963414634146343,0.7872195121951215,10.24390243902439,43.8780487804878,18.914634146341463,7.804878048780488,5.536585365853658,12.268292682926829,19.9390243902439,36.84146341463415,83.0,0.45051219512195106,8.829268292682928,23.670731707317074,0.37702439024390233,16.817073170731707,22.475609756097562,0.7604878048780488,9.634146341463415,41.292682926829265,21.914634146341463,6.536585365853658,5.439024390243903,12.951219512195122,22.20731707317073
28,UTA,98.7560975609756,96.95121951219512,36.46341463414634,81.42682926829268,0.45498780487804874,8.548780487804878,24.195121951219512,0.3591219512195121,17.28048780487805,23.29268292682927,0.7523658536585367,10.914634146341463,43.829268292682926,19.170731707317074,7.7926829268292686,5.2926829268292686,14.378048780487806,20.353658536585368,36.0609756097561,81.08536585365853,0.4505975609756098,7.975609756097561,22.5,0.3604146341463415,16.853658536585368,22.609756097560975,0.7561097560975608,9.524390243902438,40.75609756097561,19.365853658536587,8.060975609756097,4.7682926829268295,13.487804878048781,20.134146341463413
29,WAS,105.46341463414635,105.78048780487805,40.02439024390244,86.84146341463415,0.4672804878048781,8.792682926829269,24.5,0.36385365853658524,16.621951219512194,22.76829268292683,0.7429878048780487,9.231707317073171,42.47560975609756,24.79268292682927,8.792682926829269,4.024390243902439,14.134146341463415,21.0609756097561,39.146341463414636,84.90243902439025,0.4678536585365854,9.060975609756097,24.463414634146343,0.36941463414634135,18.426829268292682,23.963414634146343,0.7764268292682927,9.573170731707316,44.76829268292683,22.817073170731707,8.231707317073171,4.390243902439025,15.804878048780488,20.378048780487806
