,Team,Game,Home,Opponent,WINorLOSS
5097,BRK,14,Home,BOS,L
5098,BRK,15,Away,IND,L
5099,BRK,16,Home,SAC,L
5100,BRK,17,Home,LAC,W
5101,BRK,18,Home,MIL,L
5102,BRK,19,Away,MIL,L
5103,BRK,20,Home,WAS,L
5104,BRK,21,Home,DEN,W
5105,BRK,22,Away,SAS,L
5106,BRK,23,Away,HOU,L
5107,BRK,24,Home,LAL,W
5108,BRK,25,Away,ORL,L
5109,BRK,26,Away,PHI,L
5110,BRK,27,Away,TOR,L
5111,BRK,28,Home,GSW,L
5112,BRK,29,Away,CLE,L
5113,BRK,30,Home,CHO,W
5114,BRK,31,Away,CHI,L
5115,BRK,32,Away,WAS,L
5116,BRK,33,Home,UTA,L
5117,BRK,34,Away,IND,L
5118,BRK,35,Home,CLE,L
5119,BRK,36,Home,PHI,L
5120,BRK,37,Home,ATL,L
5121,BRK,38,Home,NOP,L
5122,BRK,39,Away,TOR,L
5123,BRK,40,Home,HOU,L
5124,BRK,41,Home,TOR,L
5125,BRK,42,Away,NOP,W
5126,BRK,43,Away,CHO,L
5127,BRK,44,Home,SAS,L
5128,BRK,45,Home,MIA,L
5129,BRK,46,Away,CLE,L
5130,BRK,47,Away,MIN,L
5131,BRK,48,Away,MIA,L
5132,BRK,49,Home,NYK,L
5133,BRK,50,Home,IND,L
5134,BRK,51,Home,TOR,L
5135,BRK,52,Away,CHO,L
5136,BRK,53,Home,WAS,L
5137,BRK,54,Home,MIA,L
5138,BRK,55,Home,MEM,L
5139,BRK,56,Home,MIL,L
5140,BRK,57,Away,DEN,L
5141,BRK,58,Away,GSW,L
5142,BRK,59,Away,SAC,W
5143,BRK,60,Away,UTA,L
5144,BRK,61,Away,POR,L
5145,BRK,62,Away,MEM,W
5146,BRK,63,Away,ATL,L
5147,BRK,64,Away,DAL,L
5148,BRK,65,Home,NYK,W
5149,BRK,66,Home,OKC,L
5150,BRK,67,Away,NYK,W
5151,BRK,68,Home,BOS,L
5152,BRK,69,Home,DAL,L
5153,BRK,70,Home,DET,W
5154,BRK,71,Home,PHO,W
5155,BRK,72,Away,WAS,L
5156,BRK,73,Away,ATL,W
5157,BRK,74,Home,PHI,L
5158,BRK,75,Away,DET,L
5159,BRK,76,Home,ORL,W
5160,BRK,77,Home,ATL,W
5161,BRK,78,Away,PHI,W
5162,BRK,79,Away,ORL,L
5163,BRK,80,Home,CHI,W
5164,BRK,81,Away,BOS,L
5165,BRK,82,Away,CHI,L
5166,CHO,1,Away,MIL,W
5167,CHO,2,Away,MIA,W
5168,CHO,3,Home,BOS,L
5169,CHO,4,Home,PHI,W
5170,CHO,5,Away,BRK,W
5171,CHO,6,Home,IND,W
5172,CHO,7,Home,UTA,W
5173,CHO,8,Home,TOR,L
5174,CHO,9,Away,CLE,L
5175,CHO,10,Away,MIN,W
5176,CHO,11,Home,ATL,W
5177,CHO,12,Away,NOP,L
5178,CHO,13,Home,MEM,L
5179,CHO,14,Home,SAS,L
5180,CHO,15,Away,NYK,L
5181,CHO,16,Home,NYK,W
5182,CHO,17,Away,MEM,W
5183,CHO,18,Home,DET,L
5184,CHO,19,Home,DAL,W
5185,CHO,20,Home,MIN,L
5186,CHO,21,Away,DAL,W
5187,CHO,22,Home,DET,W
5188,CHO,23,Home,ORL,W
5189,CHO,24,Away,CLE,L
5190,CHO,25,Away,IND,L
5191,CHO,26,Away,WAS,L
5192,CHO,27,Away,BOS,L
5193,CHO,28,Away,ATL,W
5194,CHO,29,Home,LAL,W
5195,CHO,30,Home,CHI,W
5196,CHO,31,Away,BRK,L
5197,CHO,32,Away,ORL,W
5198,CHO,33,Home,MIA,W
5199,CHO,34,Home,CLE,L
5200,CHO,35,Away,CHI,L
5201,CHO,36,Home,OKC,W
5202,CHO,37,Away,DET,L
5203,CHO,38,Away,SAS,L
5204,CHO,39,Away,HOU,L
5205,CHO,40,Away,PHI,L
5206,CHO,41,Away,BOS,L
5207,CHO,42,Home,POR,W
5208,CHO,43,Home,TOR,W
5209,CHO,44,Home,BRK,W
5210,CHO,45,Home,WAS,L
5211,CHO,46,Home,GSW,L
5212,CHO,47,Away,NYK,L
5213,CHO,48,Home,SAC,L
5214,CHO,49,Away,POR,L
5215,CHO,50,Away,GSW,L
5216,CHO,51,Away,UTA,L
5217,CHO,52,Home,BRK,W
5218,CHO,53,Home,HOU,L
5219,CHO,54,Home,LAC,L
5220,CHO,55,Home,PHI,L
5221,CHO,56,Away,TOR,L
5222,CHO,57,Away,DET,L
5223,CHO,58,Away,SAC,W
5224,CHO,59,Away,LAC,L
5225,CHO,60,Away,LAL,W
5226,CHO,61,Away,PHO,L
5227,CHO,62,Away,DEN,W
5228,CHO,63,Home,IND,W
5229,CHO,64,Away,MIA,L
5230,CHO,65,Home,ORL,W
5231,CHO,66,Home,NOP,L
5232,CHO,67,Home,CHI,L
5233,CHO,68,Away,IND,L
5234,CHO,69,Home,WAS,W
5235,CHO,70,Home,ATL,W
5236,CHO,71,Away,ORL,W
5237,CHO,72,Home,CLE,L
5238,CHO,73,Home,PHO,W
5239,CHO,74,Home,MIL,L
5240,CHO,75,Away,TOR,W
5241,CHO,76,Home,DEN,W
5242,CHO,77,Away,OKC,W
5243,CHO,78,Away,WAS,L
5244,CHO,79,Home,MIA,L
5245,CHO,80,Home,BOS,L
5246,CHO,81,Away,MIL,L
5247,CHO,82,Away,ATL,L
5248,CHI,1,Home,BOS,W
5249,CHI,2,Home,IND,W
5250,CHI,3,Away,BRK,W
5251,CHI,4,Away,BOS,L
5252,CHI,5,Home,NYK,L
5253,CHI,6,Away,IND,L
5254,CHI,7,Home,ORL,W
5255,CHI,8,Away,ATL,L
5256,CHI,9,Away,MIA,W
5257,CHI,10,Home,WAS,W
5258,CHI,11,Away,POR,W
5259,CHI,12,Away,UTA,W
5260,CHI,13,Away,LAC,L
5261,CHI,14,Away,LAL,W
5262,CHI,15,Away,DEN,L
5263,CHI,16,Away,PHI,W
5264,CHI,17,Home,LAL,L
5265,CHI,18,Home,CLE,W
5266,CHI,19,Away,DAL,L
5267,CHI,20,Home,POR,L
5268,CHI,21,Away,DET,L
5269,CHI,22,Home,SAS,W
5270,CHI,23,Home,MIA,W
5271,CHI,24,Home,MIN,L
5272,CHI,25,Away,MIL,L
5273,CHI,26,Home,MIL,L
5274,CHI,27,Home,DET,W
5275,CHI,28,Home,WAS,L
5276,CHI,29,Away,CHO,L
5277,CHI,30,Away,SAS,L
5278,CHI,31,Home,IND,W
5279,CHI,32,Home,BRK,W
5280,CHI,33,Away,IND,L
5281,CHI,34,Home,MIL,L
5282,CHI,35,Home,CHO,W
5283,CHI,36,Away,CLE,W
5284,CHI,37,Home,TOR,W
5285,CHI,38,Home,OKC,L
5286,CHI,39,Away,WAS,L
5287,CHI,40,Away,NYK,L
5288,CHI,41,Home,NOP,W
5289,CHI,42,Away,MEM,W
5290,CHI,43,Home,DAL,L
5291,CHI,44,Away,ATL,L
5292,CHI,45,Home,SAC,W
5293,CHI,46,Away,ORL,W
5294,CHI,47,Home,ATL,L
5295,CHI,48,Home,MIA,L
5296,CHI,49,Home,PHI,W
5297,CHI,50,Away,OKC,W
5298,CHI,51,Away,HOU,L
5299,CHI,52,Away,SAC,W
5300,CHI,53,Away,GSW,L
5301,CHI,54,Away,PHO,L
5302,CHI,55,Away,MIN,L
5303,CHI,56,Home,TOR,W
5304,CHI,57,Home,BOS,W
5305,CHI,58,Home,PHO,W
5306,CHI,59,Away,CLE,W
5307,CHI,60,Home,DEN,L
5308,CHI,61,Home,GSW,W
5309,CHI,62,Home,LAC,L
5310,CHI,63,Away,DET,L
5311,CHI,64,Away,ORL,L
5312,CHI,65,Home,HOU,L
5313,CHI,66,Away,BOS,L
5314,CHI,67,Away,CHO,W
5315,CHI,68,Home,MEM,L
5316,CHI,69,Away,WAS,L
5317,CHI,70,Home,UTA,W
5318,CHI,71,Away,TOR,L
5319,CHI,72,Home,DET,W
5320,CHI,73,Home,PHI,L
5321,CHI,74,Away,MIL,W
5322,CHI,75,Home,CLE,W
5323,CHI,76,Home,ATL,W
5324,CHI,77,Away,NOP,W
5325,CHI,78,Away,NYK,L
5326,CHI,79,Away,PHI,W
5327,CHI,80,Away,BRK,L
5328,CHI,81,Home,ORL,W
5329,CHI,82,Home,BRK,W
5330,CLE,1,Home,NYK,W
5331,CLE,2,Away,TOR,W
5332,CLE,3,Home,ORL,W
5333,CLE,4,Home,HOU,W
5334,CLE,5,Home,BOS,W
5335,CLE,6,Away,PHI,W
