,WINorLOSS,TeamPoints,OpponentPoints,FieldGoals,FieldGoals.,X3PointShots,X3PointShots.,Assists,Opp.FieldGoals.,Opp.3PointShots.,Opp.TotalRebounds,Opp.Blocks,v.TeamPoints,v.OpponentPoints,v.FieldGoals,v.FieldGoals.,v.X3PointShots,v.X3PointShots.,v.Assists,v.Opp.FieldGoals,v.Opp.FieldGoals.,v.Opp.3PointShots,v.Opp.3PointShots.,v.Opp.TotalRebounds,v.Opp.Blocks,h._ATL,h._BOS,h._BRK,h._CHI,h._CHO,h._CLE,h._DAL,h._DEN,h._DET,h._GSW,h._HOU,h._IND,h._LAC,h._LAL,h._MEM,h._MIA,h._MIL,h._MIN,h._NOP,h._NYK,h._OKC,h._ORL,h._PHI,h._PHO,h._POR,h._SAC,h._SAS,h._TOR,h._UTA,h._WAS,a._ATL,a._BOS,a._BRK,a._CHI,a._CHO,a._CLE,a._DAL,a._DEN,a._DET,a._GSW,a._HOU,a._IND,a._LAC,a._LAL,a._MEM,a._MIA,a._MIL,a._MIN,a._NOP,a._NYK,a._OKC,a._ORL,a._PHI,a._PHO,a._POR,a._SAC,a._SAS,a._TOR,a._UTA,a._WAS
22,0,1.333701435895413,0.4415119016243591,0.567173771675216,1.1283228494073194,2.412190890609444,1.389747556270672,0.0833881467975331,0.013109910296172709,0.16664683473480885,0.3035721484496894,-1.0535574582740095,1.040287119998422,0.43840266288051755,1.5716341917412493,1.584291988234616,-0.022828304958449296,1.0327602693044549,0.5948354471557572,0.2698428861625701,0.754104840079418,0.21814927590004052,0.3943120489571071,-0.4331872230686697,-0.5509428910240232,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
23,1,-1.7278843047267327,-1.2561324525087303,-2.160455817297199,-1.090845933887258,0.897913328365662,-0.085624257021416,-0.8116446288293531,0.9387835764253675,1.395218576348869,0.33768137861257724,-2.4067505239470486,1.040287119998422,0.43840266288051755,1.5716341917412493,1.584291988234616,-0.022828304958449296,1.0327602693044549,0.5948354471557572,0.2698428861625701,0.754104840079418,0.21814927590004052,0.3943120489571071,-0.4331872230686697,-0.5509428910240232,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
26,0,1.5796952562938982,1.408485150956563,1.3638147944862051,1.118507466771115,0.8066001085318626,0.5038658201644924,1.2508222019630388,1.731078155193606,1.1439664255179531,-1.613366586704555,-0.10632231230288068,1.040287119998422,0.43840266288051755,1.5716341917412493,1.584291988234616,-0.022828304958449296,1.0327602693044549,0.5948354471557572,0.2698428861625701,0.754104840079418,0.21814927590004052,0.3943120489571071,-0.4331872230686697,-0.5509428910240232,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
28,1,-0.9187721002835132,-0.7617634922392066,0.47192321459997943,-0.44659990994730564,-0.9892265481994575,-1.7039227147261813,-0.6281907058747738,0.33116773400312527,0.853744553333651,-0.4195435310035113,-1.304864741899002,1.040287119998422,0.43840266288051755,1.5716341917412493,1.584291988234616,-0.022828304958449296,1.0327602693044549,0.5948354471557572,0.2698428861625701,0.754104840079418,0.21814927590004052,0.3943120489571071,-0.4331872230686697,-0.5509428910240232,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
29,0,-0.9187721002835132,-0.7617634922392066,0.47192321459997943,-0.44659990994730564,-0.9892265481994575,-1.7039227147261813,-0.6281907058747738,0.33116773400312527,0.853744553333651,-0.4195435310035113,-1.304864741899002,1.040287119998422,0.43840266288051755,1.5716341917412493,1.584291988234616,-0.022828304958449296,1.0327602693044549,0.5948354471557572,0.2698428861625701,0.754104840079418,0.21814927590004052,0.3943120489571071,-0.4331872230686697,-0.5509428910240232,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
31,1,2.661475309853518,-0.3295793068463504,2.7839140090623213,3.0378609259052634,1.6816851319390742,1.5056696273150476,3.619045571013065,-2.1152555264812114,-2.9950281898029125,-0.18760076589587932,-1.7881479796393742,1.040287119998422,0.43840266288051755,1.5716341917412493,1.584291988234616,-0.022828304958449296,1.0327602693044549,0.5948354471557572,0.2698428861625701,0.754104840079418,0.21814927590004052,0.3943120489571071,-0.4331872230686697,-0.5509428910240232,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
33,1,2.5755256617624824,1.0291580242088822,0.8442663013485947,0.6402306401342427,3.2187909991413077,0.085624257021413,1.2841774606820504,0.570566095933109,-0.9029694645168386,0.19442261192845453,0.1449849713221104,1.040287119998422,0.43840266288051755,1.5716341917412493,1.584291988234616,-0.022828304958449296,1.0327602693044549,0.5948354471557572,0.2698428861625701,0.754104840079418,0.21814927590004052,0.3943120489571071,-0.4331872230686697,-0.5509428910240232,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
34,1,0.038529152592530314,-0.10260487854650589,0.030306995433024536,0.7455229265953442,-0.3880811842936336,0.7502002211337789,-0.07226972722453517,-0.7632247776767241,-0.24150972049259,0.3035721484496894,0.028996994264421237,1.040287119998422,0.43840266288051755,1.5716341917412493,1.584291988234616,-0.022828304958449296,1.0327602693044549,0.5948354471557572,0.2698428861625701,0.754104840079418,0.21814927590004052,0.3943120489571071,-0.4331872230686697,-0.5509428910240232,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
37,0,0.038529152592530314,-0.10260487854650589,0.030306995433024536,0.7455229265953442,-0.3880811842936336,0.7502002211337789,-0.07226972722453517,-0.7632247776767241,-0.24150972049259,0.3035721484496894,0.028996994264421237,1.040287119998422,0.43840266288051755,1.5716341917412493,1.584291988234616,-0.022828304958449296,1.0327602693044549,0.5948354471557572,0.2698428861625701,0.754104840079418,0.21814927590004052,0.3943120489571071,-0.4331872230686697,-0.5509428910240232,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
39,1,0.9246996622208173,-0.31714235187101325,0.2814221004495316,1.595891985895589,0.6468019738227209,0.9102517169507335,0.0,-0.5945059321260903,-0.6004413645367499,-0.3922561468732026,-2.909365091197035,1.040287119998422,0.43840266288051755,1.5716341917412493,1.584291988234616,-0.022828304958449296,1.0327602693044549,0.5948354471557572,0.2698428861625701,0.754104840079418,0.21814927590004052,0.3943120489571071,-0.4331872230686697,-0.5509428910240232,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
41,0,-0.12447880068357647,1.4364682996510716,0.047625278537610706,-0.3448768535357289,-0.20545474462604035,-0.6981670187900074,-0.7449341113913249,2.2873943486308757,0.9532198946830422,0.3786124548080482,0.6862621975913279,1.040287119998422,0.43840266288051755,1.5716341917412493,1.584291988234616,-0.022828304958449296,1.0327602693044549,0.5948354471557572,0.2698428861625701,0.754104840079418,0.21814927590004052,0.3943120489571071,-0.4331872230686697,-0.5509428910240232,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
42,1,-1.1025265203402104,-1.492434597040074,-1.935318136937579,-1.323738194619033,0.02282830495844819,-0.3780640271561043,-0.5448025590772357,-1.4597600116729545,-0.42917969437854153,-0.9243601374142423,0.08699098279326652,1.040287119998422,0.43840266288051755,1.5716341917412493,1.584291988234616,-0.022828304958449296,1.0327602693044549,0.5948354471557572,0.2698428861625701,0.754104840079418,0.21814927590004052,0.3943120489571071,-0.4331872230686697,-0.5509428910240232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
45,1,-0.48309629789100933,-0.9172254294308771,-0.11689841095596548,0.023646149078122656,0.32720570440443403,0.1178980154371745,-0.5781578177962506,-0.7518248556800694,-1.293692197033525,-0.057985691276907,-0.028996994264421237,1.040287119998422,0.43840266288051755,1.5716341917412493,1.584291988234616,-0.022828304958449296,1.0327602693044549,0.5948354471557572,0.2698428861625701,0.754104840079418,0.21814927590004052,0.3943120489571071,-0.4331872230686697,-0.5509428910240232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
47,1,-0.48309629789100933,-0.9172254294308771,-0.11689841095596548,0.023646149078122656,0.32720570440443403,0.1178980154371745,-0.5781578177962506,-0.7518248556800694,-1.293692197033525,-0.057985691276907,-0.028996994264421237,1.040287119998422,0.43840266288051755,1.5716341917412493,1.584291988234616,-0.022828304958449296,1.0327602693044549,0.5948354471557572,0.2698428861625701,0.754104840079418,0.21814927590004052,0.3943120489571071,-0.4331872230686697,-0.5509428910240232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
49,1,-0.36750884011340806,-0.5005874377571923,-0.316058666658714,1.4325997111296513,-0.31959626941828573,0.8397763669408018,0.7504933211778191,0.10316929406982223,-0.15946820185391128,-0.7333484485020734,-0.4542862434759496,1.040287119998422,0.43840266288051755,1.5716341917412493,1.584291988234616,-0.022828304958449296,1.0327602693044549,0.5948354471557572,0.2698428861625701,0.754104840079418,0.21814927590004052,0.3943120489571071,-0.4331872230686697,-0.5509428910240232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
